% vernikTable1.dat
%
% Bakken shales, Williston Basin (Vernik & Nur, table 1)
%
% Core chemical measurements: Missing values filled with -1
%
% Depth(ft)	TOC(%wt)		K(%Vol)	HI(mg/g OC)	Rho (g/cm3)	Porosity (%)
7570		16.2 		37.5 	569 			2.09			 1.97
8630 		20.1 		44.5 	584 			1.99			 -1
8634 		15.9 		36.5 	493 			2.06			 0.65
9831 		10.3 		25.0 	420 			2.21			 -1
10164 		12.9 		27.3 	319 			2.22			 0.68
10487 		15.4 		31.9 	346 			2.18			 -1
10495 		9.8 		     	21.4 	325 		        2.30			 -1
10575 		10.1 		20.4 	294 			2.49			 0.75
10732 		7.6 		        17.5 	180 		        2.43			-1
10733 		12.0 		26.4 	145 			2.33			-1
10734 		11.4 		25.3 	162 			2.34			-1
10931 		12.2 		23.9 	175 			2.35			0.97
10932 		9.9 		     	20.1 	101 		        2.43			0.87
11230 		4.9 			11.8 	75 			2.55			-1
11246 		9.5 			21.3 	122 			2.38			-1
11280 		5.3 			12.5 	116 			2.48			-1
